,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
128,1,11:22:25 AM,,",7",",8",,,,mount,,F,isolated,D,male
129,1,11:22:34 AM,,",1",",8",,,,mount,,B,social,D,male
130,1,11:24:47 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
131,1,11:25:13 AM,,",8","5,",n,NA,y,mount,,D,social,M,female
132,1,11:25:31 AM,,",8","5,",n,NA,y,mount,,D,social,M,female
133,1,11:25:45 AM,,",7",",8",,,,mount,,F,isolated,D,male
134,1,11:26:35 AM,11:29:17 AM,",3","1,",n,NA,n,insemination,,E,isolated,J,female
135,1,11:28:46 AM,,",7",",8",,,,mount,,F,isolated,D,male
136,1,11:35:36 AM,,",3",",8",,,,mount,,E,isolated,D,male
137,1,11:36:34 AM,11:37:00 AM,",7","5,",n,NA,n,insemination,,F,isolated,M,female
138,1,11:46:23 AM,11:46:51 AM,",0","2,",n,NA,n,insemination,,H,isolated,K,female
139,1,12:02:04 PM,,",3",",8",,,,mount,,E,isolated,D,male
140,1,12:02:29 PM,,",3",",9",,,,mount,,E,isolated,A,male
141,1,12:02:55 PM,,",5",",9",,,,mount,,C,social,A,male
142,1,12:03:08 PM,,",3",",5",,,,mount,,E,isolated,C,male
143,1,12:03:14 PM,,",2",",3",,,,mount,,G,isolated,E,male
144,1,12:03:22 PM,,",5",",3",,,,mount,,C,social,E,male
145,1,12:06:25 PM,,",2",",5",,,,mount,,G,isolated,C,male
146,1,12:07:08 PM,12:09:16 PM,",3","1,",n,NA,n,insemination,,E,isolated,J,female
147,1,12:09:40 PM,12:10:15 PM,",8","6,",y,n,n,insemination,,D,social,N,female
148,1,12:11:20 PM,,",3",",9",,,,mount,,E,isolated,A,male
149,1,12:12:19 PM,,",8","2,",n,NA,y,mount,,D,social,K,female
150,1,12:12:33 PM,,",0",",8",,,,mount,,H,isolated,D,male
151,1,12:15:31 PM,,",8","6,",n,NA,y,mount,,D,social,N,female
152,1,12:16:07 PM,,",5",",7",,,,mount,,C,social,F,male
153,1,12:17:38 PM,12:18:42 PM,",8","7,",n,NA,n,insemination,,D,social,O,female
154,1,12:25:59 PM,12:26:29 PM,",9","6,",n,NA,n,insemination,,A,social,N,female
155,1,12:27:47 PM,,",3","6,",y,y,NA,mount,,E,isolated,N,female
156,1,12:29:05 PM,,",5","5,",y,n,y,mount,,C,social,M,female
157,1,12:32:35 PM,,",9",",3",,,,mount,,A,social,E,male
158,1,12:32:57 PM,,",3",",9",,,,mount,,E,isolated,A,male
159,1,12:35:34 PM,,",9",",3",,,,mount,,A,social,E,male
160,1,12:36:56 PM,,",3",",9",,,,mount,,E,isolated,A,male
161,1,12:38:27 PM,,",3",",8",,,,mount,,E,isolated,D,male
162,1,12:41:07 PM,,",8","6,",y,y,NA,mount,,D,social,N,female
163,1,12:52:19 PM,,",8","2,",y,n,y,mount,,D,social,K,female
164,1,1:02:29 PM,1:03:06 PM,",3","7,",n,NA,n,insemination,,E,isolated,O,female
165,1,1:03:34 PM,,",8","2,",n,NA,y,mount,,D,social,K,female
166,1,1:06:24 PM,,",3","6,",n,NA,y,mount,,E,isolated,N,female
167,1,1:06:38 PM,,",8",",3",,,,mount,,D,social,E,male
168,1,1:06:52 PM,,",3",",8",,,,mount,,E,isolated,D,male
169,1,1:07:05 PM,,",3",",8",,,,mount,,E,isolated,D,male
170,1,1:07:28 PM,,",0","6,",n,NA,y,mount,,H,isolated,N,female
171,1,1:07:54 PM,,",0","6,",n,NA,y,mount,,H,isolated,N,female
172,1,1:09:00 PM,,",7","1,",y,n,y,mount,,F,isolated,J,female
173,1,1:10:33 PM,,",3",",8",,,,mount,,E,isolated,D,male
174,1,1:11:49 PM,,",3",",8",,,,mount,,E,isolated,D,male
175,1,1:12:16 PM,,",3",",8",,,,mount,,E,isolated,D,male
176,1,1:14:10 PM,,",7","8,",y,y,NA,mount,,F,isolated,P,female
177,1,1:14:59 PM,,",7",",1",,,,mount,,F,isolated,B,male
178,1,1:15:10 PM,,",7","5,",n,NA,y,mount,,F,isolated,M,female
179,1,1:15:29 PM,,",0",",8",,,,mount,,H,isolated,D,male
180,1,1:16:07 PM,,",5",",7",,,,mount,,C,social,F,male
181,1,1:16:53 PM,,",0",",8",,,,mount,,H,isolated,D,male
182,1,1:17:08 PM,,",0",",8",,,,mount,,H,isolated,D,male
183,1,1:17:21 PM,,",3",",8",,,,mount,,E,isolated,D,male
184,1,1:21:23 PM,1:22:08 PM,",5","5,",n,NA,n,insemination,,C,social,M,female
185,1,1:28:27 PM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
186,1,1:28:55 PM,,",0","2,",y,n,y,mount,,H,isolated,K,female
187,1,1:30:14 PM,,",1","2,",y,y,NA,mount,,B,social,K,female
188,1,1:30:57 PM,,",7","5,",n,NA,y,mount,,F,isolated,M,female
189,1,1:46:23 PM,,",0",",8",,,,mount,,H,isolated,D,male
190,1,2:02:30 PM,,",3",",8",,,,mount,,E,isolated,D,male
191,1,2:03:43 PM,,",8",",0",,,,mount,,D,social,H,male
192,1,2:04:48 PM,,",0",",8",,,,mount,,H,isolated,D,male
193,1,2:12:02 PM,,",7",",5",,,,mount,,F,isolated,C,male
194,1,2:12:06 PM,,",5","5,",n,NA,y,mount,,C,social,M,female
195,1,2:12:27 PM,,",0","7,",n,NA,y,mount,,H,isolated,O,female
196,1,2:15:08 PM,,",0",",3",,,,mount,,H,isolated,E,male
197,1,2:15:22 PM,,",0",",3",,,,mount,,H,isolated,E,male
198,1,2:15:54 PM,,",3","7,",n,NA,y,mount,,E,isolated,O,female
199,1,2:15:56 PM,,",0",",8",,,,mount,,H,isolated,D,male
200,1,2:16:29 PM,,",0",",8",,,,mount,,H,isolated,D,male
201,1,2:17:09 PM,,",9",",3",,,,mount,,A,social,E,male
202,1,2:19:40 PM,,",9","7,",n,NA,y,mount,,A,social,O,female
203,1,2:19:44 PM,,",0",",9",,,,mount,,H,isolated,A,male
204,1,2:20:53 PM,,",3",",9",,,,mount,,E,isolated,A,male
205,1,2:21:14 PM,,",3",",9",,,,mount,,E,isolated,A,male
206,1,2:21:21 PM,,",0",",3",,,,mount,,H,isolated,E,male
207,1,2:23:40 PM,,",0","7,",n,NA,y,mount,,H,isolated,O,female
208,1,2:24:19 PM,,",3",",0",,,,mount,,E,isolated,H,male
209,1,2:26:47 PM,,",1","5,",n,NA,y,mount,,B,social,M,female
210,1,2:27:14 PM,,",3",",8",,,,mount,,E,isolated,D,male
211,1,2:27:52 PM,,",3","7,",n,NA,y,mount,,E,isolated,O,female
212,1,2:35:05 PM,,",0",",8",,,,mount,,H,isolated,D,male
213,1,2:35:12 PM,,",3",",0",,,,mount,,E,isolated,H,male
