"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","treatment","patch_partner","partner_sex"
"37",1,"8:34:59 AM","",",2","2,","n",NA,"y","mount","","C","social","K","female"
"38",1,"8:36:13 AM","",",2","5,","n",NA,"y","mount","","C","social","M","female"
"39",1,"8:37:37 AM","",",2","4,","n",NA,"y","mount","","C","social","L","female"
"40",1,"8:39:10 AM","",",2","4,","n",NA,"y","mount","","C","social","L","female"
"41",1,"8:40:03 AM","",",2","9,","n",NA,"y","mount","","C","social","P","female"
"42",1,"8:40:56 AM","",",2","8,","n",NA,"y","mount","","C","social","O","female"
"43",1,"8:44:20 AM","",",3",",4","","","","mount","","H","isolated","A","male"
"44",1,"8:47:58 AM","",",2","4,","n",NA,"y","mount","","C","social","L","female"
"45",1,"8:49:41 AM","",",8",",7","","","","mount","","F","isolated","G","male"
"46",1,"8:49:54 AM","",",8","0,","y","y",NA,"mount","","F","isolated","I","female"
"47",1,"8:50:14 AM","",",8","0,","y","y",NA,"mount","","F","isolated","I","female"
"48",1,"8:50:25 AM","",",8",",7","","","","mount","","F","isolated","G","male"
"49",1,"8:50:55 AM","",",8",",7","","","","mount","","F","isolated","G","male"
"50",1,"8:51:43 AM","",",2","2,","y","y",NA,"mount","","C","social","K","female"
"51",1,"8:51:59 AM","",",4",",3","","","","mount","","A","social","H","male"
"52",1,"8:52:43 AM","",",0","0,","n",NA,"y","mount","","E","isolated","I","female"
"53",1,"8:53:57 AM","",",2","5,","n",NA,"y","mount","","C","social","M","female"
"54",1,"8:55:46 AM","",",7",",8","","","","mount","","G","isolated","F","male"
"55",1,"9:04:32 AM","",",3",",4","","","","mount","","H","isolated","A","male"
"56",1,"9:05:52 AM","",",2","6,","n",NA,"y","mount","","C","social","N","female"
"57",1,"9:06:52 AM","",",0","0,","n",NA,"y","mount","","E","isolated","I","female"
"58",1,"9:08:10 AM","",",1","0,","n",NA,"y","mount","","D","social","I","female"
"59",1,"9:09:06 AM","",",3",",4","","","","mount","","H","isolated","A","male"
"60",1,"9:09:25 AM","9:10:01 AM",",8","9,","n",NA,"n","insemination","","F","isolated","P","female"
"61",1,"9:12:40 AM","",",2","4,","n",NA,"y","mount","","C","social","L","female"
"62",1,"9:15:30 AM","",",7",",8","","","","mount","","G","isolated","F","male"
"63",1,"9:15:39 AM","",",8",",7","","","","mount","","F","isolated","G","male"
"64",1,"9:15:48 AM","",",3",",1","","","","mount","","H","isolated","D","male"
"65",1,"9:16:27 AM","",",3",",1","","","","mount","","H","isolated","D","male"
"66",1,"9:19:29 AM","",",8","9,","n",NA,"y","mount","","F","isolated","P","female"
"67",1,"9:23:51 AM","",",7","9,","n",NA,"y","mount","","G","isolated","P","female"
"68",1,"9:25:13 AM","",",8","9,","y","y",NA,"mount","","F","isolated","P","female"
"69",1,"9:31:22 AM","",",1",",3","","","","mount","","D","social","H","male"
"70",1,"9:33:20 AM","",",2","8,","n",NA,"y","mount","","C","social","O","female"
"71",1,"9:35:41 AM","",",2","8,","n",NA,"y","mount","","C","social","O","female"
"72",1,"9:39:01 AM","9:39:41 AM",",2","4,","n",NA,"n","insemination","","C","social","L","female"
"73",1,"9:43:08 AM","",",2","5,","y","y",NA,"mount","refusal posture","C","social","M","female"
"74",1,"9:44:47 AM","",",4",",3","","","","mount","","A","social","H","male"
"75",1,"9:50:07 AM","",",3",",4","","","","mount","","H","isolated","A","male"
"76",1,"10:01:43 AM","",",0",",9","","","","mount","","E","isolated","B","male"
"77",1,"10:06:25 AM","",",1",",3","","","","mount","","D","social","H","male"
"78",1,"10:06:52 AM","",",1",",4","","","","mount","","D","social","A","male"
"79",1,"10:07:22 AM","",",9",",0","","","","mount","","B","social","E","male"
"80",1,"10:07:29 AM","",",0",",9","","","","mount","","E","isolated","B","male"
"81",1,"10:07:44 AM","",",9","0,","y","y",NA,"mount","","B","social","I","female"
"82",1,"10:08:10 AM","",",7",",8","","","","mount","","G","isolated","F","male"
"83",1,"10:09:24 AM","",",9",",0","","","","mount","","B","social","E","male"
"84",1,"10:11:53 AM","",",4",",0","","","","mount","","A","social","E","male"
"85",1,"10:13:51 AM","",",2","8,","n",NA,"y","mount","","C","social","O","female"
"86",1,"10:17:17 AM","",",4",",0","","","","mount","","A","social","E","male"
"87",1,"10:17:35 AM","",",4",",0","","","","mount","","A","social","E","male"
"88",1,"10:17:55 AM","",",8",",7","","","","mount","","F","isolated","G","male"
"89",1,"10:22:13 AM","",",2","6,","n",NA,"y","mount","","C","social","N","female"
"90",1,"10:23:46 AM","",",8","9,","y","y",NA,"mount","","F","isolated","P","female"
"91",1,"10:24:00 AM","",",7",",8","","","","mount","","G","isolated","F","male"
"92",1,"10:24:40 AM","",",7",",8","","","","mount","","G","isolated","F","male"
"93",1,"10:26:53 AM","",",8","9,","y","y",NA,"mount","","F","isolated","P","female"
